# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    1.532378378    0.778426939    0.780362734    0.323924772
    1.542387387    0.775824828    0.777768272    0.337783407
    1.552396396    0.777468056    0.779496297    0.352523419
    1.562405405    0.785194997    0.787391823    0.368060944
    1.572414414    0.801372212    0.803832579    0.384363123
    1.582423423    0.828547639    0.831379670    0.400310247
    1.592432432    0.869131462    0.872449877    0.414104627
    1.602441441    0.925303919    0.929200519    0.425330643
    1.612450450    0.998927277    1.003401828    0.435933967
    1.622459459    1.091288331    1.096162918    0.448899491
    1.632468468    1.201942630    1.206863216    0.466759515
    1.642477477    1.325262400    1.329848751    0.491120980
    1.652486486    1.445804757    1.449813823    0.522287586
    1.662495495    1.539199105    1.542560874    0.558581123
    1.672504505    1.584028715    1.586789262    0.596271559
    1.682513514    1.574961942    1.577217880    0.631323519
    1.692522523    1.521136525    1.522992325    0.662293856
    1.702531532    1.435186841    1.436733995    0.691358364
    1.712540541    1.329497907    1.330808508    0.722425490
    1.722549550    1.218283764    1.219412000    0.758636490
    1.732558559    1.115196299    1.116182999    0.801615345
    1.742567568    1.028865820    1.029742589    0.853129659
    1.752576577    0.962104261    0.962896138    0.917095767
    1.762585586    0.913304671    0.914031884    0.999358582
    1.772594595    0.877922768    0.878602540    1.105913045
    1.782603604    0.850742474    0.851391537    1.241294032
    1.792612613    0.828841556    0.829478196    1.406793513
    1.802621622    0.812454930    0.813098785    1.597625591
    1.812630631    0.802769523    0.803441038    1.800938081
    1.822639640    0.800129361    0.800851979    2.000857114
    1.832648649    0.804937166    0.805741230    2.192912662
    1.842657658    0.818928527    0.819854415    2.393259368
    1.852666667    0.843954386    0.845054166    2.627080624
    1.862675676    0.879103460    0.880439646    2.906718468
    1.872684685    0.918969488    0.920605000    3.220154703
    1.882693694    0.955528385    0.957494438    3.539477555
    1.892702703    0.983484390    0.985705565    3.841937696
    1.902711712    1.002757232    1.004921923    4.112317614
    1.912720721    1.013124254    1.014564441    4.313202920
    1.922729730    1.008248048    1.008061480    4.372049766
    1.932738739    0.979258797    0.976876774    4.230772343
