# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    1.112000000    6.399478076    6.399449233    3.839566153
    1.122009009    6.375779675    6.375751228    3.834722312
    1.132018018    6.352303962    6.352275901    3.829867632
    1.142027027    6.329046443    6.329018758    3.825002451
    1.152036036    6.306002786    6.305975468    3.820127103
    1.162045045    6.283168813    6.283141851    3.815241916
    1.172054054    6.260540490    6.260513877    3.810347215
    1.182063063    6.238113923    6.238087649    3.805443321
    1.192072072    6.215885350    6.215859408    3.800530548
    1.202081081    6.193851135    6.193825516    3.795609210
    1.212090090    6.172007761    6.171982458    3.790679613
    1.222099099    6.150351827    6.150326832    3.785742061
    1.232108108    6.128880040    6.128855347    3.780796854
    1.242117117    6.107589213    6.107564813    3.775844286
    1.252126126    6.086476255    6.086452142    3.770884650
    1.262135135    6.065538174    6.065514342    3.765918230
    1.272144144    6.044772066    6.044748508    3.760945312
    1.282153153    6.024175116    6.024151826    3.755966173
    1.292162162    6.003744590    6.003721562    3.750981090
    1.302171171    5.983477835    5.983455064    3.745990332
    1.312180180    5.963372274    5.963349754    3.740994168
    1.322189189    5.943425402    5.943403128    3.735992860
    1.332198198    5.923634786    5.923612751    3.730986668
    1.342207207    5.903998057    5.903976257    3.725975849
    1.352216216    5.884512912    5.884491342    3.720960653
    1.362225225    5.865177110    5.865155766    3.715941330
    1.372234234    5.845988468    5.845967345    3.710918124
    1.382243243    5.826944861    5.826923954    3.705891276
    1.392252252    5.808044218    5.808023523    3.700861023
    1.402261261    5.789284521    5.789264033    3.695827600
    1.412270270    5.770663800    5.770643516    3.690791236
    1.422279279    5.752180137    5.752160053    3.685752159
    1.432288288    5.733831660    5.733811771    3.680710591
    1.442297297    5.715616539    5.715596842    3.675666754
    1.452306306    5.697532991    5.697513481    3.670620863
    1.462315315    5.679579272    5.679559947    3.665573133
    1.472324324    5.661753680    5.661734536    3.660523772
    1.482333333    5.644054551    5.644035585    3.655472987
    1.492342342    5.626480258    5.626461466    3.650420983
    1.502351351    5.609029211    5.609010591    3.645367960
    1.512360360    5.591699855    5.591681403    3.640314114
    1.522369369    5.574490667    5.574472380    3.635259640
    1.532378378    5.557400158    5.557382033    3.630204730
    1.542387387    5.540426869    5.540408904    3.625149570
    1.552396396    5.523569374    5.523551565    3.620094347
    1.562405405    5.506826274    5.506808619    3.615039242
    1.572414414    5.490196199    5.490178695    3.609984434
    1.582423423    5.473677807    5.473660451    3.604930100
    1.592432432    5.457269782    5.457252571    3.599876413
    1.602441441    5.440970833    5.440953767    3.594823544
    1.612450450    5.424779697    5.424762772    3.589771661
    1.622459459    5.408695133    5.408678346    3.584720929
    1.632468468    5.392715923    5.392699273    3.579671511
    1.642477477    5.376840874    5.376824358    3.574623565
    1.652486486    5.361068813    5.361052429    3.569577250
