# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.511459459    0.110838640    0.110839450    0.006674767
    0.521468468    0.115714160    0.115715006    0.006836291
    0.531477477    0.120873894    0.120874778    0.007000309
    0.541486486    0.126344088    0.126345013    0.007166974
    0.551495495    0.132154091    0.132155058    0.007336456
    0.561504505    0.138336802    0.138337814    0.007508941
    0.571513514    0.144929207    0.144930268    0.007684636
    0.581522523    0.151973007    0.151974119    0.007863769
    0.591531532    0.159515357    0.159516524    0.008046593
    0.601540541    0.167609752    0.167610977    0.008233392
    0.611549550    0.176317077    0.176318364    0.008424483
    0.621558559    0.185706868    0.185708222    0.008620225
    0.631567568    0.195858827    0.195860253    0.008821020
    0.641576577    0.206864659    0.206866162    0.009027329
    0.651585586    0.218830294    0.218831881    0.009239675
    0.661594595    0.231878612    0.231880290    0.009458661
    0.671603604    0.246152782    0.246154558    0.009684980
    0.681612613    0.261820388    0.261822271    0.009919437
    0.691621622    0.279078550    0.279080551    0.010162967
    0.701630631    0.298160338    0.298162468    0.010416671
    0.711639640    0.319342828    0.319345100    0.010681846
    0.721648649    0.342957318    0.342959747    0.010960032
    0.731657658    0.369402360    0.369404964    0.011253070
    0.741666667    0.399160513    0.399163312    0.011563177
    0.751675676    0.432820049    0.432823067    0.011893041
    0.761684685    0.471103292    0.471106557    0.012245949
    0.771693694    0.514903930    0.514907476    0.012625951
    0.781702703    0.565336537    0.565340404    0.013038079
    0.791711712    0.623802846    0.623807082    0.013488642
    0.801720721    0.692081124    0.692085786    0.013985622
    0.811729730    0.772447547    0.772452709    0.014539211
    0.821738739    0.867841953    0.867847705    0.015162549
    0.831747748    0.982094819    0.982101271    0.015872723
    0.841756757    1.120237481    1.120244776    0.016692148
    0.851765766    1.288921719    1.288930036    0.017650423
    0.861774775    1.496972194    1.496981766    0.018786778
    0.871783784    1.756070426    1.756081554    0.020153104
    0.881792793    2.081481708    2.081494780    0.021817172
    0.891801802    2.492490326    2.492505843    0.023864564
    0.901810811    3.011594766    3.011613359    0.026395108
    0.911819820    3.660174934    3.660197354    0.029503693
    0.921828829    4.446062688    4.446089721    0.033225230
    0.931837838    5.336921825    5.336954056    0.037416773
    0.941846847    6.221030839    6.221068194    0.041583851
    0.951855856    6.889291585    6.889332803    0.044800808
    0.961864865    7.109185735    7.109228274    0.046038297
    0.971873874    6.789973874    6.790014699    0.044894844
    0.981882883    6.063733601    6.063770394    0.041955706
    0.991891892    5.170204761    5.170236532    0.038282938
    1.001900901    4.300751247    4.300778105    0.034724415
    1.011909910    3.547974360    3.547996962    0.031690711
    1.021918919    2.933132402    2.933151546    0.029276527
    1.031927928    2.444051041    2.444067463    0.027428576
    1.041936937    2.058487317    2.058501628    0.026049061
    1.051945946    1.754426336    1.754439024    0.025041281
    1.061954955    1.513415068    1.513426511    0.024324408
    1.071963964    1.320988527    1.320999022    0.023835393
    1.081972973    1.166126782    1.166136564    0.023526582
    1.091981982    1.040521493    1.040530748    0.023362496
    1.101990991    0.937916013    0.937924895    0.023316934
    1.112000000    0.853581452    0.853590086    0.023370701
    1.122009009    0.783921813    0.783930309    0.023509901
    1.132018018    0.726183117    0.726191569    0.023724709
    1.142027027    0.678240972    0.678249467    0.024008511
    1.152036036    0.638445646    0.638454262    0.024357310
    1.162045045    0.605508774    0.605517588    0.024769344
    1.172054054    0.578420165    0.578429253    0.025244880
    1.182063063    0.556386405    0.556395843    0.025786138
    1.192072072    0.538785367    0.538795235    0.026397355
    1.202081081    0.525132448    0.525142830    0.027084983
    1.212090090    0.515055548    0.515066537    0.027858031
    1.222099099    0.508276709    0.508288406    0.028728600
    1.232108108    0.504598916    0.504611434    0.029712645
    1.242117117    0.503897055    0.503910522    0.030831048
    1.252126126    0.506112360    0.506126924    0.032111120
    1.262135135    0.511249948    0.511265780    0.033588668
    1.272144144    0.519379279    0.519396578    0.035310852
    1.282153153    0.530637599    0.530656602    0.037340076
    1.292162162    0.545236600    0.545257586    0.039759183
    1.302171171    0.563472717    0.563496023    0.042678070
    1.312180180    0.585741557    0.585767590    0.046241219
    1.322189189    0.612556779    0.612586029    0.050633869
    1.332198198    0.644572879    0.644605942    0.056079840
    1.342207207    0.682608981    0.682646572    0.062813420
    1.352216216    0.727666081    0.727709041    0.070987761
