# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:     6.032070257    6.031850694    4.894473291
    0.011009009 1683.106106553 1683.194570083   10.803816172
    3.744369369    1.526071635    1.525909801    3.081946059
    3.754378378    1.603146918    1.602999313    3.094817776
    3.764387387    1.635918323    1.635784672    2.997868990
    3.774396396    1.619518247    1.619394777    2.777538415
    3.784405405    1.564632156    1.564513190    2.460159621
    3.794414414    1.497416458    1.497295750    2.113620528
    3.804423423    1.444768332    1.444640898    1.807242371
    3.814432432    1.419687235    1.419549845    1.569024527
    3.824441441    1.421515002    1.421366165    1.389370326
    3.834450450    1.441917739    1.441760119    1.250296266
    3.844459459    1.468215753    1.468058312    1.140947447
    3.854468468    1.487183758    1.487040258    1.059082834
    3.864477477    1.489475200    1.489358014    1.009417357
    3.874486486    1.473139216    1.473049752    0.997717517
    3.884495495    1.447683880    1.447607280    1.025557820
    3.894504505    1.432573886    1.432487409    1.089257953
    3.904513514    1.443385558    1.443274965    1.177321432
    3.914522523    1.477937498    1.477804075    1.268874645
    3.924531532    1.516721048    1.516576130    1.337820864
    3.934540541    1.533368175    1.533225234    1.361000514
    3.944549550    1.505117047    1.504986284    1.326677235
    3.954558559    1.419939570    1.419823283    1.238708367
    3.964567568    1.280813968    1.280704390    1.115219167
    3.974576577    1.105037456    1.104921658    0.983380031
    3.984585586    0.919623808    0.919490060    0.870292139
    3.994594595    0.759080067    0.758919790    0.796936571
    4.004603604    0.657230405    0.657040107    0.776335616
    4.014612613    0.629554217    0.629336767    0.808998496
    4.024621622    0.666702457    0.666464485    0.881358003
    4.034630631    0.745319096    0.745067566    0.971642607
    4.044639640    0.841149542    0.840890465    1.056788725
    4.054648649    0.936171589    0.935909852    1.116901608
    4.064657658    1.021343675    1.021081811    1.139845565
    4.074666667    1.096558112    1.096295051    1.127853145
    4.084675676    1.166667878    1.166401048    1.100477401
    4.094684685    1.234068203    1.233797945    1.084234263
    4.104693694    1.294238242    1.293970355    1.096128831
    4.114702703    1.339227412    1.338972159    1.139435415
    4.124711712    1.364650227    1.364417534    1.209884545
    4.134720721    1.372648640    1.372441558    1.300139730
    4.144729730    1.369388901    1.369200611    1.401761828
    4.154738739    1.361978073    1.361795029    1.507375104
    4.164747748    1.355989953    1.355800479    1.611283847
    4.174756757    1.349867491    1.349671131    1.707150655
    4.184765766    1.330831792    1.330639165    1.785833539
    4.194774775    1.282013774    1.281835179    1.837617459
    4.204783784    1.200102023    1.199934673    1.859257560
    4.214792793    1.107016752    1.106844040    1.859771394
    4.224801802    1.036993185    1.036798877    1.855899095
    4.234810811    1.010401792    1.010182089    1.861022122
    4.244819820    1.025384267    1.025145381    1.882560389
    4.254828829    1.069874462    1.069623058    1.926516004
    4.264837838    1.134065633    1.133802625    1.996414295
    4.274846847    1.213032447    1.212754467    2.088323296
    4.284855856    1.301918134    1.301623309    2.189760799
    4.294864865    1.391729330    1.391419771    2.281638662
    4.304873874    1.471194518    1.470874145    2.340758786
    4.314882883    1.532766680    1.532437944    2.345458090
    4.324891892    1.578211129    1.577873074    2.288663033
    4.334900901    1.619864138    1.619512936    2.192386171
    4.344909910    1.674637170    1.674268960    2.102229446
    4.354918919    1.752867660    1.752481118    2.056551379
    4.364927928    1.851218657    1.850814852    2.063220151
    4.374936937    1.954532205    1.954112912    2.105114634
    4.384945946    2.041748649    2.041315351    2.157084453
    4.394954955    2.091377598    2.090931408    2.197067736
    4.404963964    2.085402008    2.084943155    2.211028549
    4.414972973    2.010332589    2.009859237    2.193191132
    4.424981982    1.860096460    1.859605732    2.144699769
    4.434990991    1.648388619    1.647880132    2.078481467
    4.445000000    1.415527473    1.415003485    2.020745117
    4.455009009    1.209232100    1.208693397    1.994041583
    4.465018018    1.058876650    1.058320801    1.998594558
    4.475027027    0.969032616    0.968455739    2.011982950
    4.485036036    0.926885872    0.926284403    1.998918370
    4.495045045    0.913503107    0.912874449    1.918848352
    4.505054054    0.913257038    0.912599188    1.734130169
    4.515063063    0.917008027    0.916318315    1.429868897
    4.525072072    0.920001957    0.919276251    1.040540071
    4.535081081    0.919066172    0.918300664    0.649437598
    4.545090090    0.909491702    0.908686208    0.339797652
    4.555099099    0.881768730    0.880927658    0.143995253
    4.565108108    0.824877088    0.824008280    0.046698326
    4.575117117    0.739327597    0.738441215    0.021623169
    4.585126126    0.647391971    0.646497544    0.052157943
    4.595135135    0.583904501    0.583007957    0.126350585
    4.605144144    0.573062483    0.572169632    0.227879233
    4.615153153    0.613252764    0.612379669    0.336923545
    4.625162162    0.679974050    0.679159135    0.436152451
    4.635171171    0.738445977    0.737758227    0.512905244
    4.645180180    0.756898822    0.756433070    0.555947776
    4.655189189    0.718996248    0.718843762    0.552421192
    4.665198198    0.630417456    0.630618258    0.490702785
    4.675207207    0.511716657    0.512233081    0.368873530
    4.685216216    0.383551003    0.384288833    0.204205315
    4.695225225    0.258030438    0.258882565    0.031801122
    4.705234234    0.138115026    0.138995325   -0.115793560
    4.715243243    0.020087559    0.020946144   -0.228765053
    4.725252252   -0.101400906   -0.100580245   -0.316538918
    4.735261261   -0.228692849   -0.227908640   -0.388835224
    4.745270270   -0.358430369   -0.357680086   -0.443735820
    4.755279279   -0.475943663   -0.475229477   -0.470107548
    4.765288288   -0.556094756   -0.555420347   -0.458409323
