# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    1.892702703    0.467585441    0.467215326    0.841146732
    1.902711712    0.482356010    0.482356149    0.912094285
    1.912720721    0.493192525    0.493444376    1.006084732
    1.922729730    0.497156857    0.497777567    1.128019081
    1.932738739    0.496003259    0.497361192    1.284909777
    1.942747748    0.495136979    0.497692926    1.486141574
    1.952756757    0.500230790    0.504384348    1.743222026
    1.962765766    0.515181183    0.521194696    2.068266856
    1.972774775    0.541801574    0.549681006    2.469307242
    1.982783784    0.579540075    0.588733851    2.939299353
    1.992792793    0.624155460    0.633096943    3.437367674
    2.002801802    0.666111795    0.672090062    3.872563815
    2.012810811    0.691998620    0.692267286    4.122124660
    2.022819820    0.691920452    0.685824962    4.105478026
    2.032828829    0.667575568    0.657270398    3.853232817
    2.042837838    0.630919038    0.619614968    3.482649026
    2.052846847    0.595250258    0.585307387    3.113329917
    2.062855856    0.569116517    0.561576244    2.817461322
    2.072864865    0.555830838    0.550764005    2.620312213
    2.082873874    0.554881457    0.551697195    2.515312146
    2.092882883    0.562561772    0.560084587    2.471935538
    2.102891892    0.572064107    0.568706291    2.439113683
    2.112900901    0.575207365    0.569685523    2.360157324
    2.122909910    0.566833846    0.559099923    2.203970271
    2.132918919    0.548153495    0.539379290    1.983887380
    2.142927928    0.524982204    0.516539553    1.739873232
    2.152936937    0.503459967    0.496142012    1.508063903
    2.162945946    0.487590795    0.481586503    1.307550572
    2.172954955    0.479104014    0.474291286    1.143226260
    2.182963964    0.478342147    0.474524122    1.012571881
    2.192972973    0.485155827    0.482191095    0.910504691
    2.202981982    0.499245152    0.497140246    0.831689288
    2.212990991    0.519918621    0.518911596    0.771211897
    2.223000000    0.545804804    0.546355283    0.724517044
    2.233009009    0.575263833    0.577808177    0.687393544
    2.243018018    0.607635615    0.612221888    0.656578169
    2.253027027    0.644197319    0.650431481    0.630578896
    2.263036036    0.687995905    0.695378481    0.609557078
    2.273045045    0.743299487    0.751556892    0.594269750
    2.283054054    0.815217891    0.824406633    0.585245874
    2.293063063    0.909445627    0.919898771    0.582664031
    2.303072072    1.032219480    1.044441768    0.586563416
    2.313081081    1.190172824    1.204701347    0.597052835
    2.323090090    1.389109950    1.406255828    0.614439047
    2.333099099    1.630216814    1.649536928    0.639303468
    2.343108108    1.902276144    1.921724871    0.672563295
    2.353117117    2.171754809    2.187084876    0.715536409
    2.363126126    2.382572299    2.388591044    0.770011052
    2.373135135    2.483036890    2.477398335    0.838298036
    2.383144144    2.468124920    2.453948042    0.923207287
    2.393153153    2.386398659    2.369886963    1.027854735
    2.403162162    2.299690383    2.285872041    1.155267398
    2.413171171    2.243754145    2.234701246    1.308117935
    2.423180180    2.218071688    2.213403023    1.489443847
    2.433189189    2.197601348    2.195528911    1.704652008
    2.443198198    2.155983910    2.154307964    1.963046440
    2.453207207    2.085156805    2.082400367    2.276674612
    2.463216216    1.995442407    1.991651982    2.656042130
    2.473225225    1.903249991    1.899499003    3.101241076
    2.483234234    1.820796978    1.817591978    3.585542843
    2.493243243    1.748651058    1.744758561    4.039057312
    2.503252252    1.674875428    1.667989052    4.360515663
    2.513261261    1.586901345    1.575897260    4.474843824
    2.523270270    1.485787644    1.472038195    4.386432616
    2.533279279    1.385237368    1.371376838    4.160912875
